liab,ts_cnt,bank_id,end_date,cont_liab,lchg_time,rcre_time,sanct_lim,fruct_liab,start_date,drwng_power,limit_b2kid,lchg_user_id,rcre_user_id,secured_liab,treasury_liab,user_maint_liab,limit_crncy_code,bg_effective_liab,util_limit_fund_based,util_limit_non_fund_based,treasury_liab_from_children,user_maint_liab_from_children,updated_at
0.0,4,1,2009-03-24T00:00:00.000000,1970496.0,2009-03-25T18:51:26,2009-01-25T17:59:23,2060000.0,0.0,2009-01-25T00:00:00.000000,2060000.0,DC1896,SUNNYM,SUBASD,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,2,1,2010-06-21T00:00:00.000000,0.0,2010-06-22T16:51:49,2009-03-25T18:51:26,2060000.0,0.0,2009-03-25T00:00:00.000000,2060000.0,DC1896,PUJANB,SUNNYM,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,2,1,2010-06-22T00:00:00.000000,0.0,2010-06-23T12:23:26,2010-06-22T16:51:49,1210000.0,0.0,2010-06-22T00:00:00.000000,1210000.0,DC1896,SUNNYM,PUJANB,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,1,1,2010-10-03T00:00:00.000000,1209132.5,2010-10-04T16:03:38,2010-06-23T12:23:26,1210000.0,0.0,2010-06-23T00:00:00.000000,1210000.0,DC1896,BISHNUKG,SUNNYM,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,1,1,2010-11-18T00:00:00.000000,1209132.5,2010-11-19T13:46:06,2010-10-04T16:03:38,1210000.0,0.0,2010-10-04T00:00:00.000000,1210000.0,DC1896,SUNNYM,BISHNUKG,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,1,1,2011-02-07T00:00:00.000000,0.0,2011-02-08T15:35:40,2010-11-19T13:46:06,1210000.0,0.0,2010-11-19T00:00:00.000000,1210000.0,DC1896,MANC,SUNNYM,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,5,1,2013-07-07T00:00:00.000000,0.0,2013-07-08T11:11:01,2013-07-03T17:06:12,40000000.0,0.0,2013-07-03T00:00:00.000000,40000000.0,DC14144,SATISHRS,DEEPAKA,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,7,1,2013-07-16T00:00:00.000000,139247.0,2013-07-17T16:02:11,2013-07-11T12:43:17,10000000.0,0.0,2013-07-11T00:00:00.000000,9860000.0,DC15011,BASANTAG,BASANTAG,0,,0,NPR,-139247,0,0.0,,0,2024-08-07 06:53:51.932
0.0,6,1,2013-07-16T00:00:00.000000,7536092.71,2013-07-17T17:49:01,2013-07-03T14:28:33,35000000.0,0.0,2013-07-03T00:00:00.000000,35000000.0,DC13997,SATISHRS,DEEPAKA,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
525000.0,1,1,2013-07-16T00:00:00.000000,0.0,2013-07-17T19:21:55,2013-07-08T11:11:01,40000000.0,0.0,2013-07-08T00:00:00.000000,40000000.0,DC14144,SATISHRS,SATISHRS,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
0.0,3,1,2013-07-17T00:00:00.000000,139247.0,2013-07-18T17:47:12,2013-07-17T16:02:11,10000000.0,0.0,2013-07-17T00:00:00.000000,9756000.0,DC15011,RM0486,BASANTAG,0,,0,NPR,-139247,0,0.0,,0,2024-08-07 06:53:51.932
2410000.0,1,1,2013-07-29T00:00:00.000000,0.0,2013-07-30T21:36:55,2013-07-17T19:21:55,40000000.0,0.0,2013-07-17T00:00:00.000000,40000000.0,DC14144,RAJESHR,SATISHRS,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
2410000.0,1,1,2013-08-01T00:00:00.000000,4545750.0,2013-08-02T16:01:13,2013-07-30T21:36:55,40000000.0,0.0,2013-07-30T00:00:00.000000,40000000.0,DC14144,CD0122,RAJESHR,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
2410000.0,2,1,2013-08-18T00:00:00.000000,5100000.0,2013-08-19T11:13:53,2013-08-02T16:01:13,40000000.0,0.0,2013-08-02T00:00:00.000000,40000000.0,DC14144,SATISHRS,CD0122,0,,0,NPR,-5100000,0,0.0,,0,2024-08-07 06:53:51.932
0.0,1,1,2013-08-22T00:00:00.000000,15072185.42,2013-08-23T18:40:30,2013-07-17T17:49:01,35000000.0,0.0,2013-07-17T00:00:00.000000,35000000.0,DC13997,RM0486,SATISHRS,0,,0,NPR,0,0,0.0,,0,2024-08-07 06:53:51.932
1610000.0,1,1,2013-08-28T00:00:00.000000,5100000.0,2013-08-29T14:37:11,2013-08-19T11:13:53,40000000.0,0.0,2013-08-19T00:00:00.000000,40000000.0,DC14144,SAGARM,SATISHRS,0,,0,NPR,-5100000,0,0.0,,0,2024-08-07 06:53:51.932
